,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
712,297.0033722014499,348.602807764369,153.41686525745476,324.35161057910653,290.4788363042538,221.68969511763305,4.44821552335777,1.3659421624375034,273.9773955606933,280.9606855026849,213.74875925513763,0.0
713,297.7236760085261,349.1704388383361,154.0186438642146,324.7848007963883,290.64164467935626,221.93167519368112,4.4351017432776505,1.3816805518455573,274.3875047829738,281.32359988219866,213.8179270748678,0.0
714,298.46950887916245,349.7067228921979,154.56128214257973,325.21883845636273,290.78763490272536,222.18570242427182,4.4224392249786595,1.3981193606415652,274.78405028710677,281.6736071884723,213.8957779888278,0.0
715,299.23646866058425,350.2256596022459,155.10918447834268,325.686767217598,290.9221724525834,222.47838817321377,4.409245094578416,1.415219903708318,275.1802207839245,282.037887563884,213.98763142121854,0.0
716,299.924006990368,350.74123958149903,155.6989943298926,326.1653010308057,291.07089078738176,222.76784909499034,4.3953473345031115,1.4319322083455903,275.5836996844048,282.4024024038568,214.1063150904327,0.0
717,300.622215090466,351.2509965826064,156.3422297019399,326.64282665047807,291.1893739842062,223.08289391744444,4.381272707892318,1.446638099834843,275.98085199652235,282.75438179549735,214.25980066540333,0.0
718,301.3361792655302,351.70765340364073,157.01086733168128,327.1081465560678,291.30435686599174,223.42351014842018,4.367334544814286,1.4583520672941797,276.3765691302619,283.0970868731141,214.45226951362943,0.0
719,302.1165441754259,352.1473632429733,157.69720537136922,327.5780708299799,291.4137380371625,223.77973337266135,4.353888774486027,1.465865791352296,276.77212227841045,283.4425174774982,214.6883955089454,0.0
720,302.91415015086835,352.5746031778161,158.4180636437865,328.0580158925612,291.54802396729144,224.14649846183517,4.341990880889244,1.468305107586928,277.20528345625394,283.79774045595525,214.97851536044945,0.0
721,303.77612841757553,352.9592743400779,159.10575423075332,328.5229194165914,291.66590705081416,224.51587742881307,4.333205812774036,1.4653243835719827,277.6386233194929,284.1567147995418,215.281891640226,0.0
722,304.6093000911606,353.3341641350251,159.81546845286513,328.9989526386834,291.74664672817846,224.87369154748944,4.325693184606333,1.4578726263531445,278.0419679201831,284.5200576407679,215.58991522390687,0.0
