scorer,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,449.8741183280945,214.51998209953308,0.9999998807907104,488.1353259086609,147.45357930660248,0.0021296730265021324,494.55180501937866,147.4681032896042,0.015609834343194962,487.8831331729889,175.50238752365112,1.0,470.12582874298096,174.90380859375,0.009638397954404354
1,447.5887522697449,213.62238538265228,0.9999990463256836,487.9739646911621,147.69640204310417,0.003364013507962227,492.47317811846733,147.10645830631256,0.03812217712402344,486.01501417160034,175.43059825897217,1.0,469.56102895736694,174.30344200134277,0.005760344676673412
2,445.7801858186722,212.8118530511856,0.9999980926513672,488.057288646698,147.0893257856369,0.006779729854315519,490.41830146312714,146.26936149597168,0.1505412608385086,484.77659702301025,175.43599486351013,1.0,469.31959199905396,174.00426197052002,0.011391458101570606
3,444.52929443120956,214.5881028175354,0.9999994039535522,486.48653197288513,147.36727702617645,0.00378452823497355,489.14619278907776,146.7860952615738,0.05434516444802284,482.96769297122955,176.0669140815735,1.0,492.5652984380722,161.8837070465088,0.005940202157944441
4,443.7060866653919,215.50297474861145,0.9999996423721313,486.4771840572357,147.1444416642189,0.003912081941962242,486.9619245529175,146.4488010406494,0.08723535388708115,481.4497961997986,176.18092679977417,1.0,491.4826898574829,161.57590126991272,0.008901403285562992
5,442.493656039238,215.78457474708557,0.9999995231628418,486.04369020462036,147.7577853500843,0.004394939634948969,486.8651616573334,146.7226071357727,0.053492531180381775,480.07840609550476,175.85392546653748,1.0,491.1705090999603,160.9405539035797,0.010116119869053364
6,441.4838924407959,215.9173240661621,0.9999994039535522,484.7559902071953,147.82557474076748,0.0023777864407747984,485.2601521015167,146.7018996477127,0.02613082528114319,479.3418560028076,175.92097663879395,1.0,490.8244596719742,160.57500672340393,0.010273866355419159
7,440.522358417511,216.5197148323059,0.9999992847442627,484.89199000597,147.45835387706757,0.0038337199948728085,483.73014536499977,146.64149749279022,0.06664425134658813,478.25513768196106,175.81295251846313,1.0,489.3706548213959,159.3789186477661,0.010392815805971622
8,439.2092881202698,216.86868572235107,0.9999997615814209,485.23879277706146,146.9718325138092,0.005063727963715792,482.6449375152588,147.42513847351074,0.1257908195257187,476.9693128466606,175.91155433654785,1.0,500.1950758844614,152.84463381767273,0.021671121940016747
9,437.95621597766876,216.54337120056152,0.9999998807907104,498.3046898841858,149.4948697090149,0.01101605873554945,480.8460283279419,148.37520053982735,0.11272089928388596,476.23952563107014,175.91681385040283,1.0,500.7382435798645,151.7834072113037,0.11140789091587067
10,436.3342779278755,216.46432065963745,0.9999998807907104,499.2231950163841,150.47652339935303,0.14471764862537384,478.4610822200775,148.18489742279053,0.20611697435379028,474.6252179145813,175.23870182037354,1.0,500.50936102867126,151.83071327209473,0.182230144739151
11,435.07481998205185,217.24279022216797,0.9999998807907104,499.1342576742172,152.1880509853363,0.8825802206993103,477.5567492246628,148.70008945465088,0.6736037135124207,473.2019443511963,174.78271317481995,1.0,499.74062180519104,152.71553015708923,0.16898663341999054
12,433.7919247150421,216.78453016281128,0.9999998807907104,498.5095076560974,155.29193544387817,0.9960198998451233,476.8207893371582,148.92691898345947,0.9464535713195801,472.2473216056824,175.03338384628296,1.0,498.4804730415344,152.4969561100006,0.03287793695926666
13,432.7739782333374,216.67291593551636,0.9999998807907104,496.8317770957947,156.76122361421585,0.9997630715370178,475.1089961528778,147.94717832654715,0.990189254283905,470.4389491081238,175.25086617469788,1.0,494.2054319381714,151.53434872627258,0.01278714183717966
14,431.6014995574951,216.61972332000732,0.9999996423721313,495.85340642929077,157.23981130123138,0.99985671043396,473.7566375732422,148.48139598965645,0.9956484436988831,468.9822047352791,175.49288535118103,1.0,493.6475957632065,151.77320623397827,0.01278081163764
15,430.3367483615875,217.27561902999878,0.9999996423721313,495.34643387794495,158.2392339706421,0.9996861219406128,473.04360485076904,148.97255343198776,0.9960837364196777,468.04348189756274,175.5740261077881,1.0,493.4730771780014,151.97399759292603,0.014177103526890278
16,429.1831701993942,217.31468677520752,0.9999996423721313,493.449604511261,158.0826997756958,0.9999130964279175,471.43290090560913,149.09276068210602,0.9950582981109619,466.8741626739502,175.42893886566162,1.0,492.3810122013092,151.69013786315918,0.006580635439604521
17,428.00815930683166,217.97864532470703,0.9999992847442627,492.36817941069603,157.6993135213852,0.9999277591705322,470.5923671722412,148.61391830444336,0.9907954335212708,465.58098888397217,175.35626029968262,1.0,454.05040073394775,172.66770458221436,0.004785123746842146
18,426.8215730190277,218.3321908712387,0.9999994039535522,491.63206750154495,157.97284519672394,0.999915599822998,469.7538106441498,148.28525018692017,0.990431010723114,463.9959309101105,175.7193455696106,1.0,491.1404225230217,151.40296602249146,0.0033682880457490683
19,425.88535475730896,218.80260801315308,0.9999994039535522,490.2397321462631,157.977499127388,0.9999089241027832,468.37739807367325,148.07935333251953,0.9861709475517273,462.8547463417053,175.7341549396515,1.0,489.90627551078796,151.56223225593567,0.0022452841512858868
20,425.181263923645,219.4735501408577,0.9999995231628418,488.93742656707764,158.57865571975708,0.9999262094497681,467.41428530216217,148.06008338928223,0.9817392826080322,461.8082220554352,175.8763518333435,1.0,477.958171248436,152.2485523223877,0.0025670656468719244
21,423.6587860584259,220.02207661792636,0.9999998807907104,487.7091541290283,158.5328176021576,0.9999408721923828,466.396155834198,147.37956619262695,0.974965512752533,460.52096796035767,175.7792031764984,1.0,477.8362456560135,151.5779812335968,0.0038663577288389206
22,422.7666094303131,220.54911637306213,0.9999998807907104,487.0937440395355,158.15580320358276,0.9999634027481079,465.4457392692566,147.33044707775116,0.9450547099113464,459.4123538136482,176.40562391281128,1.0,478.189932346344,151.2696692943573,0.004796967376023531
23,422.1507432460785,220.88859099149704,1.0,486.09548902511597,157.53567707538605,0.9999752044677734,463.99278831481934,147.58597734570503,0.9736194610595703,458.0664234161377,176.51181268692017,1.0,478.5992600917816,150.99493837356567,0.007214879151433706
24,421.32136738300323,221.3468883037567,1.0,484.96205919981,157.3618210554123,0.99997878074646,462.08209133148193,148.00780519424006,0.9837557077407837,457.08097648620605,177.01641607284546,1.0,478.9270305633545,151.1508550643921,0.011775401420891285
25,420.53722071647644,221.83181083202362,1.0,483.49766224622726,157.1546665430069,0.9999804496765137,462.2770757675171,147.7492147386074,0.9751678109169006,456.0728163719177,177.29152727127075,1.0,478.7468023300171,150.7109887599945,0.01269904151558876
26,419.88983349502087,222.27120661735535,1.0,482.1393702030182,157.22954857349396,0.9999712705612183,460.31427350640297,147.9129107221961,0.9918712377548218,454.96984601020813,177.97826194763184,1.0,478.3513536453247,150.63609743118286,0.010996744967997074
27,419.1991896033287,222.86428260803223,1.0,481.20180797576904,157.6951186656952,0.9999614953994751,458.1396564245224,148.5969633460045,0.9984741806983948,454.27233600616455,178.43489456176758,1.0,477.66780984401703,150.9809651374817,0.01077919639647007
28,418.2782464027405,223.43002891540527,0.9999998807907104,479.9415645599365,158.09007620811462,0.99996018409729,455.66822242736816,149.00778090953827,0.9992960691452026,453.4033832550049,178.7820143699646,1.0,438.16910791397095,173.0701231956482,0.006915820296853781
29,417.3920156955719,224.5754177570343,1.0,479.18138122558594,159.15402746200562,0.9999631643295288,455.3692088127136,149.58486914634705,0.9998480081558228,452.1509106904268,179.08186435699463,1.0,436.12787532806396,170.8253424167633,0.010492699220776558
30,416.4570896625519,224.9150025844574,0.9999998807907104,478.18728256225586,159.26314043998718,0.9999665021896362,454.25675559043884,150.1138699054718,0.9998760223388672,451.27636939287186,179.73947668075562,1.0,434.7768745422363,171.0703323483467,0.02714242972433567
31,415.8404369354248,226.0995590686798,0.9999998807907104,476.9944896697998,159.44880294799805,0.999968409538269,453.0403598546982,150.80427503585815,0.9999829530715942,450.45180809497833,180.35103225708008,1.0,433.9627094268799,171.85774379968643,0.022077109664678574
32,414.9187390804291,226.62985360622406,0.9999998807907104,475.5990518927574,159.84058499336243,0.9999622106552124,451.9019749313593,151.38212752342224,0.9999933242797852,449.5507469177246,180.59760963916779,1.0,434.65114641189575,167.58188152313232,0.03441016003489494
33,413.8118213415146,227.5200039744377,1.0,474.37531089782715,160.44404411315918,0.9999558925628662,451.0800094604492,152.12506866455078,0.9999977350234985,448.8022961616516,181.10977172851562,1.0,433.72253036499023,167.5855712890625,0.03667657822370529
34,413.29329693317413,228.50155436992645,1.0,473.051127910614,160.73868370056152,0.9999392032623291,449.6680316925049,152.68515729904175,0.999996542930603,447.96121549606323,182.18415474891663,1.0,432.1175718307495,168.86616230010986,0.045717041939496994
35,412.74866420030594,229.20704817771912,1.0,471.68603801727295,161.00980234146118,0.9998949766159058,447.92384910583496,153.57294416427612,0.9999972581863403,446.97168612480164,182.9810435771942,1.0,430.3822124004364,169.97100257873535,0.028150685131549835
36,411.95889619365335,230.0386459827423,0.9999998807907104,470.71703934669495,161.79747080802917,0.9999425411224365,446.45593643188477,154.4688984155655,0.999997615814209,445.9872108697891,183.61553692817688,1.0,429.1233959197998,170.28650379180908,0.022692810744047165
37,411.4691900610924,231.07201147079468,0.9999998807907104,469.4575226306915,162.30277955532074,0.9999504089355469,445.70369482040405,156.04960488528013,0.9999959468841553,445.29592514038086,184.26038599014282,1.0,429.0246949195862,170.98848628997803,0.011272103525698185
38,411.0049552321434,232.15994501113892,0.9999997615814209,468.19150649011135,162.64509081840515,0.9999463558197021,444.60610842704773,156.99137765169144,0.9999961853027344,444.2369691133499,185.3859419822693,1.0,428.793465256691,171.48636627197266,0.00433206744492054
39,410.644678235054,233.3506202697754,0.9999992847442627,466.9279445409775,163.5725671350956,0.9999476671218872,443.25407445430756,158.61787724494934,0.9999966621398926,443.2237491607666,186.84399271011353,1.0,426.834979057312,179.532529681921,0.0050230869092047215
40,409.64372968673706,234.65212845802307,0.9999994039535522,465.6983687877655,164.2101087719202,0.999935507774353,441.9209611415863,158.48125648498535,0.9999979734420776,442.0479402542114,187.31976461410522,1.0,426.86968898773193,180.4390672147274,0.00463380292057991
41,409.4314298629761,235.87502362579107,0.9999994039535522,464.62852597236633,164.79709148406982,0.9999334812164307,440.84726428985596,159.4132685661316,0.9999990463256836,441.3511953353882,188.4301592707634,1.0,426.4093599319458,180.88605725765228,0.010710322298109531
42,408.65857887268066,237.11049056053162,0.9999997615814209,463.92654252052307,165.65706431865692,0.9999321699142456,439.2429766654968,160.40544486045837,0.9999992847442627,440.2808699607849,189.31264317035675,1.0,427.31743717193604,181.77705335617065,0.006284370087087154
43,407.8287169933319,238.48625898361206,0.9999997615814209,462.82171535491943,166.5538866519928,0.9999405145645142,439.1368680000305,161.48045706748962,0.9999995231628418,439.62112498283386,190.57314443588257,1.0,422.6107952594757,182.99978923797607,0.004670670256018639
44,407.45135593414307,239.85113906860352,0.9999998807907104,461.9099209308624,167.43243718147278,0.9999135732650757,438.3769967556,162.38326060771942,0.9999997615814209,438.80967926979065,192.06178855895996,1.0,421.3576307296753,182.5459690093994,0.006178456358611584
45,407.2159025669098,240.74513292312622,1.0,460.2539053559303,168.26150345802307,0.9998917579650879,437.5444347858429,163.2146800160408,0.9999998807907104,438.2255656719208,193.31654834747314,1.0,420.3382635116577,182.58910846710205,0.003499580081552267
46,406.4872450828552,241.86619901657104,1.0,459.1020582318306,169.33221697807312,0.999906063079834,436.48931619524956,163.98516848497093,0.9999998807907104,437.5473345518112,194.31592416763306,1.0,419.49889945983887,183.15551280975342,0.004579136148095131
47,406.01689529418945,242.6951620578766,1.0,457.85587763786316,169.98714971542358,0.9998631477355957,435.54210248589516,164.7631831765175,0.9999998807907104,436.5052677989006,195.19083881378174,1.0,418.41697120666504,183.6441125869751,0.006498230621218681
48,405.5753834247589,243.547788977623,1.0,456.80489110946655,171.04859179258347,0.9998922348022461,434.6484533548355,165.49723494052887,0.9999997615814209,435.76271522045135,195.99360990524292,1.0,420.86844062805176,191.8251395225525,0.012477702461183071
49,405.3224595785141,244.51716196537018,1.0,456.61336278915405,171.1491455435753,0.9999181032180786,433.37979459762573,166.46169543266296,0.9999997615814209,434.9846143722534,196.58312839269638,1.0,420.685094833374,192.67623734474182,0.013074864633381367
50,404.70041012763977,245.30427169799805,1.0,455.6137888431549,171.5551932156086,0.9999455213546753,432.2065010070801,167.01102662086487,0.9999995231628418,434.0656690597534,197.4445892572403,1.0,420.33865547180176,193.65483283996582,0.01996656134724617
